,Élément,Produit,Année,Unité,Valeur,Symbole,Description du Symbole,Note
168,Superficie récoltée,Autres fruits n.a.c.,2021,ha,4588.0,E,Valeur estimée,
169,Rendement,Autres fruits n.a.c.,2021,kg/ha,5715.2,E,Valeur estimée,
170,Production,Autres fruits n.a.c.,2021,tonnes,26223.32,E,Valeur estimée,
171,Superficie récoltée,Autres fruits n.a.c.,2022,ha,4609.0,E,Valeur estimée,
172,Rendement,Autres fruits n.a.c.,2022,kg/ha,5710.2,E,Valeur estimée,
173,Production,Autres fruits n.a.c.,2022,tonnes,26319.04,E,Valeur estimée,
174,Superficie récoltée,Autres fruits n.a.c.,2023,ha,4619.0,E,Valeur estimée,
175,Rendement,Autres fruits n.a.c.,2023,kg/ha,5670.5,E,Valeur estimée,
176,Production,Autres fruits n.a.c.,2023,tonnes,26192.79,E,Valeur estimée,
177,Superficie récoltée,Autres fruits n.a.c.,2024,ha,4606.0,E,Valeur estimée,
178,Rendement,Autres fruits n.a.c.,2024,kg/ha,5698.6,E,Valeur estimée,
179,Production,Autres fruits n.a.c.,2024,tonnes,26245.05,E,Valeur estimée,
180,Superficie récoltée,Autres légumes frais n.a.c.,2010,ha,28000.0,E,Valeur estimée,
181,Rendement,Autres légumes frais n.a.c.,2010,kg/ha,4892.9,E,Valeur estimée,
182,Production,Autres légumes frais n.a.c.,2010,tonnes,137000.0,E,Valeur estimée,
183,Superficie récoltée,Autres légumes frais n.a.c.,2011,ha,26824.0,I,Valeur imputée par une agence réceptrice,
184,Rendement,Autres légumes frais n.a.c.,2011,kg/ha,5032.8,E,Valeur estimée,
185,Production,Autres légumes frais n.a.c.,2011,tonnes,135000.0,E,Valeur estimée,
186,Superficie récoltée,Autres légumes frais n.a.c.,2012,ha,27500.0,E,Valeur estimée,
187,Rendement,Autres légumes frais n.a.c.,2012,kg/ha,5272.7,E,Valeur estimée,
188,Production,Autres légumes frais n.a.c.,2012,tonnes,145000.0,E,Valeur estimée,
189,Superficie récoltée,Autres légumes frais n.a.c.,2013,ha,27701.0,I,Valeur imputée par une agence réceptrice,
190,Rendement,Autres légumes frais n.a.c.,2013,kg/ha,5088.2,E,Valeur estimée,
191,Production,Autres légumes frais n.a.c.,2013,tonnes,140948.14,I,Valeur imputée par une agence réceptrice,
192,Superficie récoltée,Autres légumes frais n.a.c.,2014,ha,27754.0,I,Valeur imputée par une agence réceptrice,
193,Rendement,Autres légumes frais n.a.c.,2014,kg/ha,5055.3,E,Valeur estimée,
194,Production,Autres légumes frais n.a.c.,2014,tonnes,140307.97,I,Valeur imputée par une agence réceptrice,
195,Superficie récoltée,Autres légumes frais n.a.c.,2015,ha,27679.0,I,Valeur imputée par une agence réceptrice,
196,Rendement,Autres légumes frais n.a.c.,2015,kg/ha,5073.9,E,Valeur estimée,
197,Production,Autres légumes frais n.a.c.,2015,tonnes,140442.05,I,Valeur imputée par une agence réceptrice,
198,Superficie récoltée,Autres légumes frais n.a.c.,2016,ha,27668.0,I,Valeur imputée par une agence réceptrice,
199,Rendement,Autres légumes frais n.a.c.,2016,kg/ha,5080.4,E,Valeur estimée,
200,Production,Autres légumes frais n.a.c.,2016,tonnes,140561.72,I,Valeur imputée par une agence réceptrice,
