Annee,Culture,Exportations_Tonnes,Importations_Tonnes,Pertes_Post_Recolte_Tonnes,Production_Tonnes,Rendement_Kg_Ha,Semences_Utilisees_Tonnes,Superficie_Irriguee_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Engrais_National_Total_Tonnes,Population_Agricole_Totale
2003,Ignames,114.8,,,614962.0,10679.0,,,57967.0,57967.0,8435.5,4135000.0
2004,Ignames,114.8,,,636305.0,11018.0,,,56479.0,58010.0,10423.5,4135000.0
2005,Ignames,114.8,,,585427.0,10151.0,,,56709.0,57670.0,11329.0,4135000.0
2006,Ignames,114.8,,,621056.0,10341.0,,,60246.0,60246.0,8466.5,4135000.0
2007,Ignames,114.8,,,618212.0,10647.0,,,58431.0,58431.0,10199.0,4135000.0
2008,Ignames,114.8,,,648327.0,10202.0,,,63975.0,62775.0,5230.0,4135000.0
2009,Ignames,114.8,,,704413.9563,10182.70328,,,69177.5,69177.5,9870.5,4135000.0
2010,Ignames,114.8,,,710481.0,9932.768527,,,71529.0,71529.0,24874.1,4135000.0
2011,Ignames,114.8,,,727749.0,10217.60618,,,71225.0,71225.0,25854.9,4135000.0
2012,Ignames,114.8,,,864408.0,8706.0,,,103475.0,106279.0,25861.2,4235333.333333333
2013,Ignames,114.8,,,661200.0,9833.286239,,,67241.0,67241.0,34767.3,4339333.333333333
2014,Ignames,114.8,,,786393.9314,7811.436487,,,100672.1277,100672.1277,36537.7,4446333.333333333
2015,Ignames,114.8,,,781419.0,9027.026325,,,86564.38697,86564.38697,32970.0,4557000.0
2016,Ignames,125.66,,,813985.352,8938.509329,,,91065.0,91065.0,41704.45,4670666.666666667
2017,Ignames,434.14,,,826553.0,9178.503953,,,90643.21411,90643.21411,28109.75,4785333.333333333
2018,Ignames,715.668,,,858782.6865,9150.2184,,,93853.79113,93853.79113,28109.75,4901666.666666667
2019,Ignames,715.668,,,874267.454394521,8949.00315962698,,,97694.3955432643,97694.3955432643,28109.75,5018666.666666667
2020,Ignames,715.668,,,940876.20824901,9000.0,,,104140.742836556,104140.742836556,28109.75,5137333.333333333
2021,Ignames,715.668,,,960431.0,9037.05411330768,,,106277.0,106277.0,28109.75,5257666.666666667
2022,Ignames,715.668,,,984614.0,9044.0,,,108871.0,108871.0,28109.75,5378333.333333333
2000,Manioc,0.0,351.0,,700695.0,10380.0,,,123941.0,123941.0,5730.0,4135000.0
