Annee,Culture,Rendement_Kg_Ha,Superficie_Plantee_Ha,Superficie_Recoltee_Ha,Production_Tonnes,Superficie_Irriguee_Ha,Semences_Utilisees_Tonnes,Engrais_National_Total_Tonnes
2001,Riz (paddy),2336.0,32110.0,32110.0,64082.0,2.336,,5730.0
2002,Riz (paddy),2570.0,32017.0,32017.0,69246.0,2.57,,5080.0
2003,Riz (paddy),2743.0,28594.0,28594.0,62107.0,2.743,,8435.5
2004,Riz (paddy),2572.0,32276.0,32276.0,68519.0,2.572,,10423.5
2005,Riz (paddy),2209.0,32711.0,32711.0,72858.0,2.209,,11329.0
2006,Riz (paddy),2553.0,30723.0,30723.0,76287.0,2.553,,8466.5
2007,Riz (paddy),2834.0,32717.0,32717.0,80418.0,2.834,,10199.0
2008,Riz (paddy),2689.0,36492.0,36492.0,85637.0,2.689,,5230.0
2009,Riz (paddy),2654.040998,45701.9,45701.9,121294.7163,2.65404099806135,,9870.5
2010,Riz (paddy),2322.827669,47403.0,47403.0,110109.0,2.32282766913487,,24874.1
2011,Riz (paddy),2510.053005,44713.0,44713.0,112232.0,2.51005300471899,,25854.9
2012,Riz (paddy),1627.0,104043.0,104043.0,169272.523,1.627,,25861.2
2013,Riz (paddy),1788.809506,92239.0,92239.0,168325.6923,1.78880950574052,,34767.3
2014,Riz (paddy),1764.782275,86515.27975,86515.27975,147929.8383,1.76478227502119,,36537.7
2015,Riz (paddy),1727.331954,81600.99143,81600.99143,140952.0,1.72733195426257,,32970.0
2016,Riz (paddy),1653.593699,82914.0,82914.0,137106.068,1.65359369949586,,41704.45
2017,Riz (paddy),1665.014273,84395.0878,84395.0878,140519.0257,1.66501427266757,,28109.75
2018,Riz (paddy),1676.040323,86805.00691,86805.00691,145488.6918,1.67604032315734,,28109.75
2019,Riz (paddy),1639.79339076619,89677.5865691995,89677.5865691995,147052.713756036,1.63979339076619,,28109.75
2020,Riz (paddy),1684.51095878734,94894.9433772953,94894.9433772953,159851.942073763,1.68451095878734,,28109.75
2021,Riz (paddy),1686.90450714846,98133.0,98133.0,165541.0,1.68451095878734,,28109.75
2022,Riz (paddy),1697.0,99958.0,99958.0,169608.0,1.68451095878734,,28109.75
2000,Sorgho,870.0,181884.0,181884.0,155401.0,,,5730.0
2001,Sorgho,771.59532650239,183674.0,183674.0,163271.0,,,5730.0
2002,Sorgho,861.663865890647,195184.0,195184.0,168983.0,,,5080.0
2003,Sorgho,921.270102720601,177277.0,177277.0,155569.0,,,8435.5
2004,Sorgho,1013.69650363011,167488.0,167488.0,169782.0,,,10423.5
