Annee,Culture,Importations_Tonnes,Exportations_Tonnes,Pertes_Post_Recolte_Tonnes,Population_Agricole_Totale
2004,Sorgho,47.0,38.0,,4135000.0
2005,Sorgho,40.5,24.0,,4135000.0
2006,Sorgho,34.0,16.0,,4135000.0
2007,Sorgho,27.5,8.0,,4135000.0
2008,Sorgho,21.0,0.0,,4135000.0
2009,Sorgho,0.0,0.0,,4135000.0
2010,Sorgho,0.0,0.0,,4135000.0
2011,Sorgho,0.0,0.0,,4135000.0
2012,Sorgho,0.0,0.0,,4235333.333333333
2013,Sorgho,0.0,0.0,,4339333.333333333
2014,Sorgho,0.0,20.0,,4446333.333333333
2015,Sorgho,0.0,120.0,,4557000.0
2016,Sorgho,0.0,5.958,,4670666.666666667
2017,Sorgho,0.0,16.422,,4785333.333333333
2018,Sorgho,0.0,15.68,,4901666.666666667
2019,Sorgho,0.0,7.84,,5018666.666666667
2020,Sorgho,1.2,0.0,,5137333.333333333
2021,Sorgho,37.1,0.0,,5257666.666666667
2022,Sorgho,73.0,0.0,,5378333.333333333
