"country","commodity","indicator","Unit","Date","Value"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2018","277239.9621"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2019","282581.714987383"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2020","279105.203482086"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2021","276986"
"Togo","1.1.1.4. Sorghum","Production on area harvested (Tons)","Tons","2022","280809"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2004","47"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2008","21"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2009","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2010","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2011","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2012","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2013","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2014","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2015","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2016","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2017","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2018","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2019","0"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2020","1.2"
"Togo","1.1.1.4. Sorghum","Imports (Tons)","","2022","73"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2000","2"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2001","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2003","20"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2004","38"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2005","24"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2008","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2009","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2010","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2011","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2012","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2013","0"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2014","20"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2015","120"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2016","5.958"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2017","16.422"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2018","15.68"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2019","7.84"
"Togo","1.1.1.4. Sorghum","Exports (Tons)","Tons","2020","0"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2000","32413"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2001","32110"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2002","32017"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2003","28594"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2004","32276"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2005","32711"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2006","30723"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2007","32717"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2008","36492"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2009","45701.9"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2010","47403"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2011","44713"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2012","104043"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2013","92239"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2014","86515.27975"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2015","81600.99143"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2016","82914"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2017","84395.0878"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2018","86805.00691"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2019","89677.5865691995"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2020","94894.9433772953"
"Togo","1.1.1.5. Rice, paddy","Area planted (Ha)","Ha","2021","98133"
